title,count,author,sources,original_publication_year,genres
the great gatsby,6,f. scott fitzgerald,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1925,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']"
anna karenina,5,leo tolstoy,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\penguin-classics.csv, lists\harvard-classics-shelf-of-fiction.csv",1877,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels', '19th Century', 'Classic Literature']"
brave new world,5,aldous huxley,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1932,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']"
jane eyre,5,charlotte brontë,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1847,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature']"
little women,5,louisa may alcott,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1868,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Novels']"
madame bovary,5,gustave flaubert,"lists\centerforfiction.csv, lists\guardian.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv, lists\library100.csv",1856,"['Classics', 'Fiction', 'France', 'Literature', 'French Literature', 'Romance', '19th Century', 'Novels', 'Historical Fiction', 'Classic Literature']"
moby dick,5,herman melville,"lists\guardian.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv, lists\library100.csv, lists\centerforfiction.csv",1851,"['Classics', 'Fiction', 'Adventure', 'Childrens', 'Young Adult', 'Animals', 'Novels', 'Historical Fiction', 'Classic Literature', 'School']"
pride and prejudice,5,jane austen,"lists\centerforfiction.csv, lists\harvard-classics-shelf-of-fiction.csv, lists\library100.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1813,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Historical Romance', 'Classic Literature', 'Adult']"
the catcher in the rye,5,j.d. salinger,"lists\centerforfiction.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv, lists\guardian.csv",1951,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']"
to kill a mockingbird,5,harper lee,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1960,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']"
ulysses,5,james joyce,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1922,"['Classics', 'Fiction', 'Literature', 'Novels', 'Ireland', 'Irish Literature', 'Unfinished', '20th Century', 'Literary Fiction', 'Banned Books']"
wuthering heights,5,emily brontë,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1847,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical Fiction', '19th Century', 'Novels', 'Classic Literature', 'Historical']"
catch-22,4,joseph heller,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1961,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'Humor', 'Literature', 'Novels', 'Unfinished', 'American', 'Historical']"
crime and punishment,4,fyodor dostoevsky,"lists\centerforfiction.csv, lists\harvard-classics-shelf-of-fiction.csv, lists\library100.csv, lists\penguin-classics.csv",1866,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']"
don quixote,4,miguel de cervantes,"lists\guardian.csv, lists\library100.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1605,"['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Novels', 'Historical Fiction', 'Spain', 'Humor', 'Classic Literature']"
frankenstein,4,mary shelley,"lists\guardian.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv, lists\library100.csv",1818,
great expectations,4,charles dickens,"lists\centerforfiction.csv, lists\library100.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1860,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian']"
lolita,4,vladimir nabokov,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1955,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature', 'Literary Fiction', '20th Century', 'Adult']"
mrs dalloway,4,virginia woolf,"lists\guardian.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv, lists\centerforfiction.csv",1925,
one hundred years of solitude,4,gabriel garcía márquez,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\penguin-classics.csv",1967,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']"
the adventures of huckleberry finn,4,mark twain,"lists\library100.csv, lists\penguin-classics.csv, lists\guardian.csv, lists\centerforfiction.csv",1884,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'Read For School', 'American']"
the call of the wild,4,jack london,"lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1903,"['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature', 'School', 'Childrens', 'Novels']"
the count of monte cristo,4,alexandre dumas,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\penguin-classics.csv",1844,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical', 'Classic Literature', 'Novels', 'Romance']"
the grapes of wrath,4,john steinbeck,"lists\centerforfiction.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1939,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American', 'Historical', 'Classic Literature', 'High School']"
